ts,Close,Low,High,Open,Volume
2021-01-05 10:05:00,11.55,11.55,11.55,11.55,4
2021-01-05 10:06:00,11.5,11.5,11.55,11.55,11
2021-01-05 10:07:00,11.55,11.5,11.55,11.5,31
2021-01-05 10:08:00,11.6,11.55,11.6,11.55,29
2021-01-05 10:09:00,11.55,11.55,11.6,11.6,3
2021-01-05 10:10:00,11.55,11.55,11.55,11.55,12
2021-01-05 10:11:00,11.5,11.5,11.55,11.55,19
2021-01-05 10:12:00,11.5,11.5,11.5,11.5,35
2021-01-05 10:13:00,11.55,11.5,11.55,11.5,9
2021-01-05 10:14:00,11.5,11.5,11.55,11.5,8
2021-01-05 10:15:00,11.55,11.55,11.55,11.55,46
2021-01-05 10:16:00,11.55,11.55,11.55,11.55,12
2021-01-05 10:17:00,11.55,11.55,11.55,11.55,20
2021-01-05 10:19:00,11.6,11.55,11.6,11.6,5
2021-01-05 10:20:00,11.55,11.55,11.6,11.6,16
2021-01-05 10:21:00,11.55,11.55,11.6,11.6,2
2021-01-05 10:22:00,11.55,11.55,11.55,11.55,8
2021-01-05 10:24:00,11.6,11.55,11.6,11.6,23
2021-01-05 10:25:00,11.55,11.55,11.6,11.6,25
2021-01-05 10:26:00,11.6,11.6,11.6,11.6,11
2021-01-05 10:27:00,11.55,11.55,11.6,11.6,11
2021-01-05 10:28:00,11.55,11.55,11.6,11.6,12
2021-01-05 10:29:00,11.55,11.55,11.55,11.55,3
2021-01-05 10:30:00,11.55,11.55,11.55,11.55,3
2021-01-05 10:31:00,11.6,11.6,11.6,11.6,6
2021-01-05 10:32:00,11.55,11.55,11.6,11.6,14
2021-01-05 10:33:00,11.55,11.55,11.6,11.6,37
2021-01-05 10:34:00,11.6,11.6,11.6,11.6,4
2021-01-05 10:35:00,11.6,11.6,11.6,11.6,4
2021-01-05 10:36:00,11.6,11.6,11.6,11.6,175
2021-01-05 10:37:00,11.6,11.6,11.65,11.65,71
2021-01-05 10:38:00,11.6,11.6,11.6,11.6,29
2021-01-05 10:39:00,11.6,11.6,11.6,11.6,3
2021-01-05 10:40:00,11.6,11.6,11.6,11.6,35
2021-01-05 10:41:00,11.6,11.6,11.6,11.6,2
2021-01-05 10:42:00,11.6,11.6,11.6,11.6,5
2021-01-05 10:43:00,11.65,11.6,11.65,11.6,164
2021-01-05 10:44:00,11.55,11.55,11.6,11.6,8
2021-01-05 10:45:00,11.6,11.6,11.6,11.6,12
2021-01-05 10:46:00,11.6,11.6,11.6,11.6,14
2021-01-05 10:47:00,11.6,11.55,11.6,11.6,3
